City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,roma,43.2128,-75.4557,281.69,83,100,3.59,US,1697361647
135,coronel dorrego,-38.7187,-61.2873,286.52,45,99,9.63,AR,1697361503
136,pachora,20.6667,75.35,307.14,29,16,2.23,IN,1697361736
137,peniche,39.3558,-9.3811,293.31,92,100,4.78,PT,1697361453
138,acapulco de juarez,16.8634,-99.8901,300.05,89,100,3.09,MX,1697361739
139,sisimiut,66.9395,-53.6735,267.28,73,8,3.89,GL,1697361740
140,papao,-17.75,-149.55,297.97,75,9,4.03,PF,1697361741
141,balkanabat,39.5108,54.3671,293.63,32,4,1.94,TM,1697361742
142,vizinga,61.0749,50.1031,283.34,96,100,4.13,RU,1697361743
143,bredasdorp,-34.5322,20.0403,293.02,59,52,8.68,ZA,1697361745
144,arraial do cabo,-22.9661,-42.0278,294.07,94,75,5.14,BR,1697361746
145,utrik,11.2278,169.8474,301.33,76,80,4.23,MH,1697361747
146,colonia,50.9333,6.95,283.13,84,75,4.12,DE,1697361748
147,greymouth,-42.4667,171.2,282.13,75,19,8.45,NZ,1697361749
148,taltal,-25.4,-70.4833,287.4,83,34,1.04,CL,1697361750
149,albany,42.6001,-73.9662,281.93,91,84,0.45,US,1697361751
150,balcarce,-37.8462,-58.2552,281.38,91,93,2.24,AR,1697361752
151,dosso,13.049,3.1937,306.61,24,13,1.96,NE,1697361754
152,pechora,65.1472,57.2244,274.74,67,100,6.71,RU,1697361755
153,ancud,-41.8697,-73.8203,278.58,83,78,1.7,CL,1697361756
154,kamaishi,39.2667,141.8833,288.84,95,100,2.27,JP,1697361757
155,sao felix do xingu,-6.6447,-51.995,297.16,63,39,0.85,BR,1697361619
156,yonggang-up,38.8561,125.4244,289.23,59,0,4.89,KP,1697361759
157,fort st. john,56.2499,-120.8529,279.09,93,100,2.57,CA,1697361760
158,shimoda,34.6667,138.95,290.99,64,2,11.82,JP,1697361761
159,udachny,66.4167,112.4,267.29,79,42,2.9,RU,1697361762
160,caleta de carquin,-11.0925,-77.6267,291.65,90,95,3.51,PE,1697361764
161,jamestown,42.097,-79.2353,282.92,96,100,3.13,US,1697361491
162,gazojak,41.1875,61.4036,289.66,16,93,5.25,TM,1697361766
163,flying fish cove,-10.4217,105.6791,299.97,89,100,5.14,CX,1697361767
164,selfoss,63.9331,-20.9971,277.06,97,100,5.41,IS,1697361768
165,egilsstadir,65.2653,-14.3948,270.1,80,100,0.51,IS,1697361769
166,tympaki,35.0729,24.7685,299.39,61,0,3.13,GR,1697361770
167,jinji,23.2281,110.8261,300.48,61,9,1.93,CN,1697361771
168,tartagal,-22.5164,-63.8013,291.24,60,61,1.5,AR,1697361772
169,invercargill,-46.4,168.35,278.16,86,46,5.36,NZ,1697361763
170,badger,64.8,-147.5333,273.14,91,100,1.54,US,1697361774
171,ghat,24.9647,10.1728,301.1,19,0,2.38,LY,1697361776
172,tonga,-20.0,-175.0,296.45,83,99,9.27,TO,1697361777
173,port macquarie,-31.4333,152.9167,291.42,71,4,3.84,AU,1697361778
174,nova sintra,14.8667,-24.7167,298.51,76,92,2.95,CV,1697361779
175,buka,40.8108,69.1986,292.17,22,0,2.56,UZ,1697361780
176,ha'il,27.5219,41.6907,307.16,15,0,1.03,SA,1697361781
177,kailua-kona,19.6406,-155.9956,299.13,85,75,2.06,US,1697361782
178,pangody,65.85,74.4859,274.58,77,98,5.36,RU,1697361783
179,kencong,-8.2833,113.3667,301.04,72,46,3.33,ID,1697361784
180,puerto deseado,-47.7503,-65.8938,282.32,52,0,5.57,AR,1697361786
181,altamira,-3.2033,-52.2064,296.71,81,13,1.8,BR,1697361787
182,juneau,58.3019,-134.4197,282.71,97,100,2.06,US,1697361691
183,punta arenas,-53.15,-70.9167,278.21,81,75,5.66,CL,1697361674
184,hami,42.8,93.45,296.31,13,0,3.53,CN,1697361790
185,tuy hoa,13.0833,109.3,299.92,86,95,1.25,VN,1697361663
186,sidon,33.5631,35.3689,298.08,62,11,4.63,LB,1697361792
187,akrehamn,59.2667,5.1833,281.29,76,75,10.29,NO,1697361793
188,coahuayana de hidalgo,18.7,-103.6583,299.1,94,100,1.1,MX,1697361794
189,oros,-6.2444,-38.9136,298.15,62,19,0.97,BR,1697361796
190,alice springs,-23.7,133.8833,299.9,11,0,4.63,AU,1697361758
191,salekhard,66.53,66.6019,273.55,84,60,1.48,RU,1697361798
192,bani walid,31.7566,13.9942,299.0,26,0,2.68,LY,1697361799
193,margaret river,-33.95,115.0667,295.93,52,53,3.69,AU,1697361800
194,veraval,20.9,70.3667,303.62,56,5,5.08,IN,1697361801
195,vila velha,-20.3297,-40.2925,295.12,99,75,2.57,BR,1697361545
196,okhotsk,59.3833,143.3,275.44,76,100,2.68,RU,1697361803
197,vorkuta,67.5,64.0,273.43,82,100,1.16,RU,1697361804
198,ust'-uda,54.1742,103.0304,282.47,41,98,2.68,RU,1697361805
199,pangoa,-12.1167,-73.0,291.84,98,16,1.4,PE,1697361807
200,arkalyk,50.2486,66.9114,284.66,43,95,7.41,KZ,1697361808
201,correntina,-13.3433,-44.6367,295.92,55,33,2.77,BR,1697361809
202,spring creek,40.7266,-115.5859,276.98,36,26,1.19,US,1697361810
203,wanning,18.8003,110.3967,299.04,85,100,5.8,CN,1697361811
204,pindobacu,-10.7417,-40.3608,294.0,86,69,3.55,BR,1697361812
205,mapimi,25.8167,-103.85,290.89,79,23,2.82,MX,1697361813
206,harper,4.375,-7.7169,299.44,86,97,3.54,LR,1697361798
207,kourou,5.1552,-52.6478,297.18,75,100,4.66,GF,1697361815
208,caninde,-4.3589,-39.3117,297.65,73,31,2.88,BR,1697361817
209,wladyslawowo,54.7909,18.4009,282.9,59,68,11.77,PL,1697361819
210,lesosibirsk,58.2358,92.4828,279.21,68,100,3.7,RU,1697361820
211,belyy yar,53.6039,91.3903,279.09,87,75,4.0,RU,1697361822
212,talnakh,69.4865,88.3972,271.6,85,100,0.97,RU,1697361823
213,south upi,6.8333,124.15,297.5,82,80,1.69,PH,1697361824
214,new norfolk,-42.7826,147.0587,281.88,95,31,1.4,AU,1697361825
215,memari,23.2,88.1167,304.3,48,0,2.96,IN,1697361826
216,lorengau,-2.0226,147.2712,301.09,75,59,0.55,PG,1697361828
217,guerrero negro,27.9769,-114.0611,292.12,88,0,3.03,MX,1697361829
218,tateyama,34.9833,139.8667,290.98,74,45,3.56,JP,1697361831
219,veinticinco de mayo,-35.4323,-60.1727,283.7,84,0,2.68,AR,1697361832
220,tralee,52.2704,-9.7026,278.29,93,0,0.0,IE,1697361833
221,lamu,-2.2717,40.902,301.27,70,62,4.19,KE,1697361834
222,hobyo,5.3505,48.5268,302.8,65,29,4.31,SO,1697361835
223,pursat,12.3333,103.6667,301.06,86,100,0.81,KH,1697361836
224,ciudad lazaro cardenas,17.9583,-102.2,299.69,92,99,1.74,MX,1697361838
225,amahai,-3.3333,128.9167,299.76,85,98,2.01,ID,1697361839
226,susuman,62.7833,148.1667,263.7,83,100,0.89,RU,1697361840
227,white river,-25.3318,31.0117,291.64,63,40,1.03,ZA,1697361841
228,iskateley,67.6803,53.1512,273.72,87,100,8.94,RU,1697361842
229,niquero,20.0431,-77.5828,299.68,83,32,0.79,CU,1697361843
230,port lincoln,-34.7333,135.8667,287.75,85,88,7.85,AU,1697361788
231,carutapera,-1.195,-46.02,299.62,80,15,4.18,BR,1697361846
232,atafu village,-8.5421,-172.5159,301.67,76,73,10.37,TK,1697361848
233,nemuro,43.3236,145.575,288.17,80,100,4.54,JP,1697361849
234,monze,-16.2833,27.4833,308.06,19,92,3.12,ZM,1697361850
235,beipiao,41.7919,120.7792,286.3,21,0,5.19,CN,1697361851
236,mercedes,-34.6515,-59.4307,285.73,91,0,3.72,AR,1697361852
237,daru,-9.0763,143.2092,298.6,86,94,4.87,PG,1697361853
238,howrah,22.5892,88.3103,306.15,52,20,4.63,IN,1697361854
239,dunedin,-45.8742,170.5036,281.37,62,36,2.24,NZ,1697361855
240,luderitz,-26.6481,15.1594,290.32,69,29,2.01,NA,1697361856
241,constantia,44.1833,28.65,297.53,61,0,5.13,RO,1697361857
242,nuku'alofa,-21.1333,-175.2,295.34,88,20,3.09,TO,1697361859
243,chonchi,-42.6128,-73.8092,279.71,93,58,1.09,CL,1697361860
244,tazovsky,67.4667,78.7,274.92,99,100,1.03,RU,1697361861
